No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.0.0.1,10.0.0.2,TCP,74,57222 > [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=46979 TSecr=0 WS=512
2,52.82547,10.0.0.3,10.0.0.2,TCP,74,40758 > 34568 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=60198 TSecr=0 WS=512
3,52.980129,10.0.0.2,10.0.0.3,TCP,74,"34568 > 40758 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=60224 TSecr=60198 WS=512"
4,53.030784,10.0.0.3,10.0.0.2,TCP,66,40758 > 34568 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=60250 TSecr=60224
5,53.048178,10.0.0.3,10.0.0.2,TCP,2114,"40758 > 34568 [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=2048 TSval=60250 TSecr=60224"
6,53.060734,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=60250 TSecr=60224
7,53.072517,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=60250 TSecr=60224
8,53.096931,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=4945 Ack=1 Win=29696 Len=2896 TSval=60250 TSecr=60224
9,53.108749,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=60250 TSecr=60224
10,53.133038,10.0.0.3,10.0.0.2,TCP,2962,40758 > 34568 [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=60250 TSecr=60224
11,53.145084,10.0.0.3,10.0.0.2,TCP,1514,40758 > 34568 [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=60250 TSecr=60224
